Plate	Patient	Cell_type	Amplicon	Well	Count
AS-197	RN	CD34	RN_RUNX1_c	A1	16
AS-197	RN	CD34	RN_RUNX1_c	A2	79
AS-197	RN	CD34	RN_RUNX1_c	A3	213
AS-197	RN	CD34	RN_RUNX1_c	A4	47
AS-197	RN	CD34	RN_RUNX1_c	A5	1
AS-197	RN	CD34	RN_RUNX1_c	A6	108
AS-197	RN	CD34	RN_RUNX1_c	A7	28
AS-197	RN	CD34	RN_RUNX1_c	A8	95
AS-197	RN	CD34	RN_RUNX1_c	A9	104
AS-197	RN	CD34	RN_RUNX1_c	A10	1
AS-197	RN	CD34	RN_RUNX1_c	A11	5
AS-197	RN	CD34	RN_RUNX1_c	A12	115
AS-197	RN	CD34	RN_RUNX1_c	A13	262
AS-197	RN	CD34	RN_RUNX1_c	A14	0
AS-197	RN	CD34	RN_RUNX1_c	A15	4
AS-197	RN	CD34	RN_RUNX1_c	A16	85
AS-197	RN	CD34	RN_RUNX1_c	A17	612
AS-197	RN	CD34	RN_RUNX1_c	A18	197
AS-197	RN	CD34	RN_RUNX1_c	A19	224
AS-197	RN	CD34	RN_RUNX1_c	A20	382
AS-197	RN	CD34	RN_RUNX1_c	A21	109
AS-197	RN	CD34	RN_RUNX1_c	A22	101
AS-197	RN	CD34	RN_RUNX1_c	A23	58
AS-197	RN	CD34	RN_RUNX1_c	A24	12
AS-197	RN	CD34	RN_RUNX1_c	B1	50
AS-197	RN	CD34	RN_RUNX1_c	B2	303
AS-197	RN	CD34	RN_RUNX1_c	B3	182
AS-197	RN	CD34	RN_RUNX1_c	B4	427
AS-197	RN	CD34	RN_RUNX1_c	B5	8
AS-197	RN	CD34	RN_RUNX1_c	B6	961
AS-197	RN	CD34	RN_RUNX1_c	B7	232
AS-197	RN	CD34	RN_RUNX1_c	B8	1583
AS-197	RN	CD34	RN_RUNX1_c	B9	1754
AS-197	RN	CD34	RN_RUNX1_c	B10	46
AS-197	RN	CD34	RN_RUNX1_c	B11	23
AS-197	RN	CD34	RN_RUNX1_c	B12	1609
AS-197	RN	CD34	RN_RUNX1_c	B13	2418
AS-197	RN	CD34	RN_RUNX1_c	B14	38
AS-197	RN	CD34	RN_RUNX1_c	B15	9
AS-197	RN	CD34	RN_RUNX1_c	B16	429
AS-197	RN	CD34	RN_RUNX1_c	B17	620
AS-197	RN	CD34	RN_RUNX1_c	B18	1912
AS-197	RN	CD34	RN_RUNX1_c	B19	1619
AS-197	RN	CD34	RN_RUNX1_c	B20	2971
AS-197	RN	CD34	RN_RUNX1_c	B21	877
AS-197	RN	CD34	RN_RUNX1_c	B22	1983
AS-197	RN	CD34	RN_RUNX1_c	B23	959
AS-197	RN	CD34	RN_RUNX1_c	B24	70
AS-197	RN	CD34	RN_RUNX1_c	C1	39
AS-197	RN	CD34	RN_RUNX1_c	C2	462
AS-197	RN	CD34	RN_RUNX1_c	C3	163
AS-197	RN	CD34	RN_RUNX1_c	C4	251
AS-197	RN	CD34	RN_RUNX1_c	C5	7
AS-197	RN	CD34	RN_RUNX1_c	C6	524
AS-197	RN	CD34	RN_RUNX1_c	C7	243
AS-197	RN	CD34	RN_RUNX1_c	C8	1262
AS-197	RN	CD34	RN_RUNX1_c	C9	597
AS-197	RN	CD34	RN_RUNX1_c	C10	15
AS-197	RN	CD34	RN_RUNX1_c	C11	20
AS-197	RN	CD34	RN_RUNX1_c	C12	625
AS-197	RN	CD34	RN_RUNX1_c	C13	655
AS-197	RN	CD34	RN_RUNX1_c	C14	23
AS-197	RN	CD34	RN_RUNX1_c	C15	11
AS-197	RN	CD34	RN_RUNX1_c	C16	1031
AS-197	RN	CD34	RN_RUNX1_c	C17	984
AS-197	RN	CD34	RN_RUNX1_c	C18	2872
AS-197	RN	CD34	RN_RUNX1_c	C19	2285
AS-197	RN	CD34	RN_RUNX1_c	C20	1559
AS-197	RN	CD34	RN_RUNX1_c	C21	488
AS-197	RN	CD34	RN_RUNX1_c	C22	766
AS-197	RN	CD34	RN_RUNX1_c	C23	772
AS-197	RN	CD34	RN_RUNX1_c	C24	145
AS-197	RN	CD34	RN_RUNX1_c	D1	58
AS-197	RN	CD34	RN_RUNX1_c	D2	309
AS-197	RN	CD34	RN_RUNX1_c	D3	221
AS-197	RN	CD34	RN_RUNX1_c	D4	297
AS-197	RN	CD34	RN_RUNX1_c	D5	15
AS-197	RN	CD34	RN_RUNX1_c	D6	2888
AS-197	RN	CD34	RN_RUNX1_c	D7	341
AS-197	RN	CD34	RN_RUNX1_c	D8	564
AS-197	RN	CD34	RN_RUNX1_c	D9	1270
AS-197	RN	CD34	RN_RUNX1_c	D10	12
AS-197	RN	CD34	RN_RUNX1_c	D11	36
AS-197	RN	CD34	RN_RUNX1_c	D12	1369
AS-197	RN	CD34	RN_RUNX1_c	D13	679
AS-197	RN	CD34	RN_RUNX1_c	D14	27
AS-197	RN	CD34	RN_RUNX1_c	D15	30
AS-197	RN	CD34	RN_RUNX1_c	D16	470
AS-197	RN	CD34	RN_RUNX1_c	D17	618
AS-197	RN	CD34	RN_RUNX1_c	D18	2030
AS-197	RN	CD34	RN_RUNX1_c	D19	1559
AS-197	RN	CD34	RN_RUNX1_c	D20	1722
AS-197	RN	CD34	RN_RUNX1_c	D21	772
AS-197	RN	CD34	RN_RUNX1_c	D22	355
AS-197	RN	CD34	RN_RUNX1_c	D23	476
AS-197	RN	CD34	RN_RUNX1_c	D24	59
AS-197	RN	CD34	RN_RUNX1_c	E1	92
AS-197	RN	CD34	RN_RUNX1_c	E2	988
AS-197	RN	CD34	RN_RUNX1_c	E3	601
AS-197	RN	CD34	RN_RUNX1_c	E4	430
AS-197	RN	CD34	RN_RUNX1_c	E5	11
AS-197	RN	CD34	RN_RUNX1_c	E6	2483
AS-197	RN	CD34	RN_RUNX1_c	E7	291
AS-197	RN	CD34	RN_RUNX1_c	E8	1501
AS-197	RN	CD34	RN_RUNX1_c	E9	2068
AS-197	RN	CD34	RN_RUNX1_c	E10	59
AS-197	RN	CD34	RN_RUNX1_c	E11	36
AS-197	RN	CD34	RN_RUNX1_c	E12	4117
AS-197	RN	CD34	RN_RUNX1_c	E13	4462
AS-197	RN	CD34	RN_RUNX1_c	E14	37
AS-197	RN	CD34	RN_RUNX1_c	E15	45
AS-197	RN	CD34	RN_RUNX1_c	E16	1811
AS-197	RN	CD34	RN_RUNX1_c	E17	1709
AS-197	RN	CD34	RN_RUNX1_c	E18	4205
AS-197	RN	CD34	RN_RUNX1_c	E19	1997
AS-197	RN	CD34	RN_RUNX1_c	E20	2529
AS-197	RN	CD34	RN_RUNX1_c	E21	1215
AS-197	RN	CD34	RN_RUNX1_c	E22	1235
AS-197	RN	CD34	RN_RUNX1_c	E23	1828
AS-197	RN	CD34	RN_RUNX1_c	E24	126
AS-197	RN	CD34	RN_RUNX1_c	F1	130
AS-197	RN	CD34	RN_RUNX1_c	F2	390
AS-197	RN	CD34	RN_RUNX1_c	F3	1006
AS-197	RN	CD34	RN_RUNX1_c	F4	1167
AS-197	RN	CD34	RN_RUNX1_c	F5	7
AS-197	RN	CD34	RN_RUNX1_c	F6	1260
AS-197	RN	CD34	RN_RUNX1_c	F7	197
AS-197	RN	CD34	RN_RUNX1_c	F8	1311
AS-197	RN	CD34	RN_RUNX1_c	F9	1420
